land_types_source,land_types_PcmU,description,built_up,land_types,land_squer
садівництво,,дилянка правильнои прямокутнои форми поряд з дилянкою комуникации зручне транспортне сполучення терминовий продаж можливий торг,0,3,1000.0
під забудову,,діілянка правельної форми всі комунікації район новобудов асфальтований доїзд до ділянки леся володимирівна,0,1,1500.0
під забудову,,діл ка районвул повітряна сот кв м ціл признач під будівництво знаходиться в гарному з багатою зеленню місці в провулку вул повітряної недалеко від церкви комунікації газ вода світло терміново ціна сотка,0,1,2100.0
,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ка в новому кварталі новобудів х м гарне місце світло і газ м навкруги ліси до дизпотяга школи і магазину км доїзд дизпотяга з ст підзамче хв авто через борщовичі км вздовж колії кад нр терміново,0,1,1800.0
під забудову,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ка в новому кварталі новобудів х м гарне місце світло і газ м навкруги ліси до дизпотяга школи і магазину км доїзд дизпотяга з ст підзамче хв авто через борщовичі км вздовж колії кад нр терміново можл рівноцінний обм на л а на укр реєстрації чи з моєю допл розгл всі пропоз обміну в т ч і дачу біля львова,0,1,1800.0
,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ка в новому кварталі новобудів х м гарне місце світло і газ м навкруги ліси до дизпотяга школи і магазину км доїзд дизпотяга з ст підзамче хв авто через борщовичі км вздовж колії кад нр терміново можл рівноцінний обм на л а на укр чи інозем реєстрації розгл всі пропоз обміну в т ч і дачу біля львова,0,1,1800.0
,,діл ка в новому кварталі новобудов ряд від траси приблизний розмір х м світло проводиться газ м гарне місце південна сторона сонячна навпроти сосновий ліс м до асфальту магазину і маршрутки до яворівської траси м можл поруч докупити сот в ряді терміново,0,1,1200.0
під забудову,,діл ка в обжитому кв лі новобудів кутова можл на і сімї добрий доїзд межує з житл будинком світло поруч газ через дорогу,0,1,1300.0
під забудову,,діл ка р н гот осг квартал розробляється під забудову х м до асфальту м ззаду готелю м,0,2,1500.0
під забудову,,діл ка вул шевченка т сот для обслуговування житлового будинку центрс рясне руське кінець в шевченка ідеально рівна прямокутна світло газ центральне водопостачанняекв,0,1,1000.0
дачна,,діл ку енергетик сад світло плодові дерева довкола будинки постійного проживання торг,0,3,60000.0
дачна,,діл ку метрів від озера вульки є фруктові дерева кущі та всі умови для дачного відпочинку є будинок кімн кухня електр газ водаозеро вульки с бережани пустомитівського р н розташоване км від центра міста в км від вул зеленої поворот на вул вулецьку за пожежною частиною поворот направо по шутрованій дорозі до озера км,1,3,
дачна,,діл ку метрів від озера вульки є фруктові дерева кущі та всі умови для дачного відпочинку є будинок кімн кухня електр газ водаозеро вульки с бережани пустомитівського р н розташоване км від центра міста в км від вул зеленої поворот на вул вулецьку за пожежною частиною поворот направо по шутрованій дорозі до озера км,1,3,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку км від бібрки км від львова гарний краєвид всі комунікації поруч можливий торг власник кадастровий номер,0,1,1500.0
житлова,для розміщення та експлуатації обєктів дорожнього сервісу,діл ку азс окко прямокутна форма рівний рельєф,0,1,200000.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку вулиця журавлина початок села в житловій забудові комунікації біля ділянки газ світло власний водопровід хороший доїзд кадастровий номер,0,1,1500.0
дачна,,діл ку вулиця квартальна біля фанерного заводу світло біля грунтової дороги поруч котеджі торг,0,3,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку вулиця олени пчілки прямокутна форма рівний рельєф район новобудов,0,1,80000.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку поворот на поршну прямокутної форми х м усі комунікації заїзди затишний елітний район поруч ліс кадастровий номер власник,0,1,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку провулок тепличний по сусідству житлові новобудови кадастровий номер,0,1,618.0
дачна,для індивідуального садівництва,діл ку р н фуджікури соток прямокутна форма рівний рельєф,0,3,
дачна,,діл ку район вул варшавської правильної форми спланована близько комунікації в чудовому зеленому місці км до оперного театру км до тц арсен км до школи та дитсадочка,0,3,
дачна,,діл ку район фанерного заводу документи щодо кадастру в наявності,0,3,
дачна,для колективного садівництва,діл ку урочище клепарів район фанерного заводу зупинка сади квадратної форми рівний рельєф,0,3,1000.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку центр села з підведеним газом та світлом кадастровий номер на ділянці знаходиться старий будинок з документами,1,1,100000.0
дачна,,діл ку ряд світло поруч приватні будинки,0,3,
дачна,,діл ку кооперативу проживають цілий рік фундамент під забудову план будівництва оснащений вагончик проведено світло огорожа молодий сад,1,3,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку м до газу поруч стадіон спортивний майданчик нова пошта дитсадок школа з кадастровим номером,0,1,
дачна,,діл ку км від львова старе село є будинок земля вироблена ар плодові дерева кущі поблизу ліс і джерело недорого,1,3,
дачна,,діл ку км від львова всі комунікації поруч є річка ліс торг,0,3,
дачна,,діл ку км від ужгорода будинок кв м всередині обитий деревом зовні металевий,1,3,60000.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку км від львова комунікації поряд кадастровий номер т,0,1,2200.0
дачна,,діл ку км від львова м від траси верхній ряд рівна комунікакації поруч кадастровий номер,0,3,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку км від львова комунікації поряд кадастровий номер т,0,1,2200.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка для ведення особистого селянського господарства,діл ку акти з будинком всі комунікації газ світло асвальт доїзд до львова до вікторії гарден хв кадастрові номера ділянок та,1,7,1450.0
дачна,,діл ку км від львова світло вода криниці є невеликий будинок,1,3,
дачна,,діл ку м від моря,0,3,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку м від кільцевої дороги під будівництво спереду і позаду ділянки є дорога комунікації поруч м від ділянки збудовано котеджі кадастровий номер,0,1,1500.0
житлова,для колективного садівництва,діл ку х м приватизована всі комунікації біля ділянки світло на ділянці газ і вода м кадастровий номер торг,0,3,80000.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку х м можливий обмін на автомобіль,0,1,800.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку х м рівнинний рельєф чудовий краєвид на озеро львівське море,0,1,100000.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку х м кадастровий газ світло поруч,0,1,600.0
дачна,,діл ку км від львова близько м від гот варшава на території ділянки дерев як великих так і молодих насаджень,0,3,
дачна,,діл ку км від львова на початку липник м від центральної дороги цегляний будинок кімната кухня можливо обладнати кімнату на му поверховому світло в будинку вода з центрального водогону торгпоруч житлові будинки,1,3,
дачна,,діл ку км від львова жовківський район приватизована ліс електромережа м торг,0,3,
дачна,для індивідуального садівництва,діл ку км від львова сот кадастровий н,0,3,1000.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку х м кутова поруч стрийська автодорога торг,0,1,1200.0
житлова,для колективного садівництва,діл ку є погоджений проект будівництва будиночка та залитий фундамент,1,3,550.0
комерційна,для розміщення та експлуатації основних підсобних і допоміжних будівель та споруд будівельних організацій та підприємств,діл ку для розміщення та експлуатації основних підсобних і допоміжних будівель та споруд будівельних організацій та підприємств,0,4,
дачна,для колективного садівництва,діл ку біля готелю європа рівна х м на ділянці знаходиться щиток на фази є заїзд з двох сторін зроблений ескизний проект на будівництво км до ашану метрів до траси,0,3,600.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку км від обїздної дороги львова хороша асфальтована дорога правильної прямокутної форми велике село школа магазини ставки власник кадастровий номер,0,1,100000.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку метрів від траси київ чоп та км від гірськолижного курорту плай будинок м кв,1,1,
дачна,,діл ку м від кільцевої дороги ближче до львова до дач м можливість переведення в житловий фонд,0,3,
дачна,,діл ку сот правильна х м росте сад металевий кунг х м поруч світло інтернет доїзд добрий розташована м від дороги на львів район с липники,1,3,
житлова,,діл ку км від львова район новобудов торг,0,1,
дачна,,діл ку або обмін на квартиру у львові або близько львова з допл діл ку недалеко львова відразу за рудно у дачному кооперативі за фуджікурою доглянута обгороджена зі всіма документами під забудову,0,3,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка для ведення особистого селянського господарства,діл ку асфальтний доїзд до львова до вікторії гарденс хвилин ділянка сотих будинок м всі комунікації газ центральна вода каналізація вигрібна яма два акти на ділянкувулиця галицька біля памятника небесної сотні асвальтний доїзд кадастрові номера ділянок та,1,7,1450.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка для ведення особистого селянського господарства,діл ку асфальтний доїзд до львова до вікторії гарденс хвилин ділянка сотих житловий будинок м всі комунікації газ центральна вода каналізація вигрібна яма два акти на ділянкукадастрові номера ділянок та,1,7,1450.0
дачна,,діл ку біля гот європа ділянка рівна газ біля паркану добре під будівництво поруч будинки де проживають люди є магазин,0,3,
дачна,для індивідуального садівництва,діл ку біля дач навпроти заправки шел призначення для ведення садівництва кадастровий номер можливий обмін торг,0,3,600.0
дачна,,діл ку біля комсомольського озера забава дерев будинок криниця сітло м газ,1,3,700.0
дачна,,діл ку біля лісу поруч озеро ставки ліс пісок і газ та світло село знаходиться км від львова також кожних години їздить електричка зупинок від львова хв їзди,0,3,2500.0
дачна,,діл ку біля озера сутер в дачному кооперативі з документами,0,3,
дачна,,діл ку біля траси автобусна зупинка дачі хороший доїзд поряд ставок ліс торг коорд,0,3,52000.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку біля траси львів луцьк кадастровий номер комунікації поруч земельна ділянка під будівницто житлового будинку сот с велике колодно біля траси львів луцьк кадастровий номер комунікації поруч в селі є школа дитячий садочок поліклініка аптека магазини ж д зупинка автобусна зупинка,0,1,1500.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку біля церкви кутова електролінія біля ділянки поруч новобудови асфальтована дорога гарний краєвид торг кадастровий,0,1,100000.0
дачна,для індивідуального садівництва,діл ку бірківської сільської ради км зі львова є акт кадастровий номер ділянка межує з лісом є алюмінієвий кунг туалет дерева кущі власник,1,3,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку бічна салютної призначення будівництво котеджів кадастровий номер,0,1,430000.0
дачна,,діл ку будин м кв адреса можна прописатись гараж світло газ на дорозі вода своя ліс ставок поряд новобудови живуть постійно хороша дорога інфраструктура маршрутка магазин церква торг,1,3,
дачна,,діл ку будин цегл п кв м біля річки потр космет ремонту електрика поруч необроблена,1,3,
дачна,,діл ку будинок кв м підвал кв м тераса пергола виноград город сад плодові дерева огорожа державний акт поруч ліс цілюще джерело озеро,1,3,
житлова,для ведення особистого селянського господарства для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку будинок цегл асф підїзд потребує ремонту є сад колодязь госп будівлі паркан заізд газ піч конвектор власник торг ад ном,1,7,3300.0
дачна,,діл ку будинок світло приватизована км від львова торг,1,3,
дачна,,діл ку будиночок є колодязь з водою,1,3,
дачна,,діл ку в будинку кімнати незавершене будівництво не має води,1,3,
дачна,,діл ку в гарн з баг зелен місці гарн сад город є ел інтерн пічка крин з смачн джерел водою будинок цегл в гарн стані мет плас вікн і якіс двері терм,1,3,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку в гарному місці приватизована під забудову гарне місце серед новобудов всі комунікації поруч кадастровий номер,0,1,
дачна,для індивідуального садівництва,діл ку в дачному кооперативі політехнік документи на ділянку оформлені належним чином кн,0,3,
дачна,,діл ку в дачному кооперативі беркут є можливість окремого заїзду є блоки на фундамент комунікації поряд,1,3,
дачна,,діл ку в дачному кооперативі черешневий гай правильної квадратної форми світло і вода на ділянці газ поруч хороший доїзд поруч гарні новозбудовані будинки хороші сусіди,0,3,
дачна,,діл ку в дуже гарному місці на горі біля лісу,0,3,
дачна,для колективного садівництва,діл ку в кооперативі автомобіліст кадастровий номер торг,0,3,594.0
дачна,,діл ку в кооперативі лісний км по прямій від головної дороги будинок цегляний ділянка оброблена торг,1,3,
житлова,для колективного садівництва,діл ку в кооперативі текстильник вул весняна км від львова сот правильної форми поруч житлові будинки маршрутка кадастр ном,0,3,
дачна,,діл ку в кооперативі мічуренець,0,3,
дачна,,діл ку в кооперативі світло,0,3,
дачна,,діл ку в мальовничому місці поряд з монастирем біля села деревач поряд ліс річка дачний кооператив активно забудовується житловими будинками проводиться підключення інтернету води і електрики,0,3,800.0
дачна,,діл ку в межах міста в урочищі клепарів на ділянці є водяна скважина електрика не проведена але лінія поряд власник,0,3,
дачна,,діл ку в межах села межує з озером комунікації поруч недалеко від центральної дороги гарний чорнозем є акт на приватну власність без посередників можливий торг,0,3,
житлова,для ведення особистого селянського господарства,діл ку в районі котеджного містечка вишня гарної форми гарне місце кадастровий номер власник або обмін на квартиру у львові торг,0,2,2200.0
житлова,для ведення особистого селянського господарства,діл ку в районі котеджного містечка вишня гарної форми гарне місце кадастровий номер власник торг,0,2,2200.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку в районі липника біля церкви кутова електролінія біля ділянки асфальтована дорога гарний краєвид кад номер,0,1,
житлова,для ведення особистого селянського господарства,діл ку в районі панської гори кадастровий номер готовий співпрацювати з ріелторами,0,2,2000.0
дачна,,діл ку в районі фанерного заводу приватизована кадастровий номер комунікації поруч житлові забудови м можливий торг можливість викупити сусідню ділянку від власника,0,3,
дачна,,діл ку в садовому товаристві ватра терміново ділянка знаходиться біля соснового лісу з кадастровим номером по документах сот насправді є близько сот торг,0,3,
дачна,,діл ку в урочищі клепарів обслуговуючий кооператив кооператор сад маленький будинок кутова вулиця провулок поруч електрика газ можливість житлової забудови,1,3,61600.0
дачна,,діл ку в хорошому місці є кадастровий номер всі документи по приватизації,0,3,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку вже в житловому районі поруч є сусіди комунікації поруч від автобусної зупинки хв пішки кадастровий номер,0,1,950.0
,,діл ку винники вул івана франка сотих землі правільної форми всі комунікації є стара хата під знос нормальний доїзд ціна тис у о т олег,1,1,1200.0
житлова,для індивідуального садівництва,діл ку власник кооператив струмок по документам для садівництва можливість переводу в житлову за фуджікурою без комунікацій кадастровий номер,0,3,600.0
дачна,,діл ку вода поруч охайний кооператив добрий доїзд,0,3,500.0
дачна,,діл ку вода можливість підключепння світло,0,3,
дачна,,діл ку вода світло поруч ліс приватизована кадастровий номер,0,3,
дачна,,діл ку вода світло поруч ставок,0,3,46800.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку все огороджено газ біля огорожі світло на діл ці старий будинок не житловий кадастровий поруч канал річка база відпочинку до ценральної дороги львів луцьк км до смт добротвір км,1,1,3000.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку всі документи в наявності правильної форми х м дотична до дороги комунікації поруч кадастровий номер,0,1,800.0
житлова,,діл ку всі документи комунікації поруч живуть сусіди,0,1,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку вулиця залуг від центральної асфальтної дороги м до городоцької траси км під забудову житлового будинку х м поруч житлові будинки комунікації м недалеко від озера кадастровий торг,0,1,100000.0
,,діл ку вулиця замарстинівська кв м продаж ділянки сот під забудову будинку або котеджів ділянка правильної форми приватизована цільове призначеня будівництво та обслуговування комунікації хороше місцерозташування навпроти парк,0,1,600.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку вулиця засянська район негрів під житлову забудову рівнинна квадратної форми кадастровий номер торг,0,1,400.0
,,діл ку вулиця парфановичів кв м під забудову ми поверхового будинку є акт на землю,0,5,1100.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку вулиця повністю в жилих будинках на ділянці є фундамент зручний доізд поруч дитячий садочок школи ліс поруч всі комунікації газ електрика документи готові,1,1,80000.0
,,діл ку вулиця поштова район бічна в варшавської кв м під забудову огороджена комунікації поруч можливий обмін на квартиру або автомобіль,0,1,1050.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку гарна земельна ділянка розташована в с щеплоти біля грушівського озера кадастровий номер,0,1,13.3
житлова,,діл ку гарне місце для будови будинку довкола робудовуються поблизу ліс та озеро поблизу траса львів краковець можливий торг,0,1,
дачна,,діл ку гарне місцерозташування природа ліс неподалік протікає річка західний буг розгляну будь яку пропозицію терміново,0,3,
дачна,,діл ку городоц р н львів обл км від м львів км до траси львів самбір є криниця мож підвести газ світло в селі є нет буд глинобит піч на дрова пєц город сот подв сот буд кв м,1,3,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку городоцький р н газ інтернет світло поруч к н,0,1,243800.0
дачна,для індивідуального садівництва,діл ку городоцький район біля траси львів самбір правильної прямокутної форми суха чиста кадастровий добре транспортне сполучення,0,3,1000.0
дачна,для індивідуального садівництва,діл ку городоцький район біля траси львів самбір правильної прямокутної форми суха чиста кадастровий добре транспортне сполучення,0,3,100000.0
дачна,,діл ку дача перша лінія світло вода поряд проведений газ до зупинки хвилини,0,3,
дачна,,діл ку дачна ділянка з будиночком кв м та насадженими фруктовими деревами є світло водопровід поруч торг,1,3,
дачна,,діл ку дачний кооператив авіатор оброблена ділянка сад вагончик,1,3,
дачна,,діл ку дачну,0,3,120000.0
дачна,,діл ку дві ділянки сот в коопер правильної форми мет кунг цегл гараж з можливістю добудови фрукт дерева огородж електр вода,1,3,
житлова,для ведення особистого селянського господарства для ведення особистого селянського господарства,діл ку дві ділянки по соток в межах населеного пункту рівнинний рельєф та можливий продаж частинами можливий торг,0,2,
дачна,для колективного садівництва,діл ку дерева стаціонарні теплиці вагончик для інструментів збудований туалет кадастровий номер поруч світло водапустомитівський р н км від львова можна під забудову,1,3,
дачна,,діл ку ді ка сот правильної форми рівна призначення під садівництво поворот перед фуджікурою асвальтовий доїзд світло газ біля ділянки поруч житлові будинки живуть постійно,0,3,
дачна,для колективного садівництва для колективного садівництва,діл ку ділянка т салют усі документи в нормі зем ділян під самим лісом на території діл дерева кущі метал контейнер цегла т шт фундамент кадастровий кадастровий номер зразу за парканом ростуть сосни а ділянка не оброблялясь три роки в землі залитий фундамент під домік доречі сусуд рядом з моєю ділянкою продає свою зем ділянку з деревами документи в нормі,1,3,500.0
дачна,,діл ку ділянка в садівничому кооперативі ромашка ділянка знаходиться біля краю села біля струмка недалеко ліс озеро,0,3,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку ділянка для будівництва житлового будинку господарських будівель і споруд присадибна ділянка вул березня газ світло підведено керниця кадастровий,0,1,800.0
дачна,,діл ку ділянка для садівництва мальовниче місце на горі під горою є джерело на ділянці є металевий кунг який стоїть на фундаменті,1,3,
дачна,,діл ку ділянка для садівництва пустомитівський р н солонківська сільрада дачний кооператив смерічка є світло цегляний будиночок є кадастровий номер,1,3,
дачна,,діл ку ділянка дотична до лісу близько до траси львів городок сусіди живуть комунікації в сусіда дорога хороша торг,0,3,
дачна,для колективного садівництва,діл ку ділянка з будинком м в садову товариствіі сонячна поляна є проект на будинок всі комунікації світло вода газ площа діл по докум соток а факт є соток к н,0,3,700.0
дачна,,діл ку ділянка квадратної форми за ділянкою знаходиться ліс,0,3,
житлова,,діл ку ділянка находиться миколаївського р н вул незалежності під забудову житлового будинку поруч комунікації,0,1,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку ділянка одразу за с малі підліски смт запитів котеджне містечко всі комунікації поруч зручна транспортна розвязка мальовничі краєвиди поруч озеро кад номер,0,1,1200.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку ділянка під забудову в славську хороше розміщення відразу біля підйомника і гори погар є проект на будинок у о сотка кадастровий номер ділянки терміновий продаж,1,1,860.0
дачна,,діл ку ділянка правильної форми без комісії код обєкта,0,3,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку ділянка правильної форми під будівництво та обслуговування житлового будинку район активно забудовується кадастровий номер,0,1,1200.0
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку ділянка розташована відразу за винниками в районі активної забудови другий ряд від дороги кадастр номер,0,1,
житлова,для будівництва і обслуговування житлового будинку господарських будівель і споруд присадибна ділянка,діл ку ділянку правильної форми у обжитому районі с шоломинь км від м львів комунікації на ділянці кадастровий,0,1,2700.0
